filename,algorithm,score
random_10_13,SCALE,0.763
random_10_13,PFS,0.797
random_10_13,PFS',0.799
random_10_13,FTA,0.801
random_10_13,VPSC,0.808
random_10_13,PRISM,0.716
random_10_13,GTREE,0.697
random_10_13,RWordle-L,0.767
random_10_14,initial,0.0
random_10_14,SCALE,0.763
random_10_14,PFS,0.797
random_10_14,PFS',0.799
random_10_14,FTA,0.801
random_10_14,VPSC,0.808
random_10_14,PRISM,0.716
random_10_14,GTREE,0.697
random_10_14,RWordle-L,0.767
random_10_15,initial,0.0
random_10_15,SCALE,0.763
random_10_15,PFS,0.797
random_10_15,PFS',0.799
random_10_15,FTA,0.801
random_10_15,VPSC,0.808
random_10_15,PRISM,0.716
random_10_15,GTREE,0.697
random_10_15,RWordle-L,0.767
random_10_16,initial,0.0
random_10_16,SCALE,0.763
random_10_16,PFS,0.797
random_10_16,PFS',0.799
random_10_16,FTA,0.801
random_10_16,VPSC,0.808
random_10_16,PRISM,0.716
random_10_16,GTREE,0.697
random_10_16,RWordle-L,0.767
random_10_17,initial,0.0
